instance,result,seconds,exit
01.ltl,REALIZABLE,0.03359310799714876,0
02.ltl,REALIZABLE,0.041759325002203695,0
03.ltl,REALIZABLE,3.0104767649972928,0
05.ltl,REALIZABLE,14.041591881003114,0
06.ltl,REALIZABLE,18.125003575001756,0
07.ltl,REALIZABLE,19.91697950100024,0
08.ltl,REALIZABLE,28.92908145600086,0
09.ltl,REALIZABLE,7.40375456000038,0
10.ltl,REALIZABLE,3.525196495000273,0
11.ltl,REALIZABLE,3.340208725003322,0
12.ltl,REALIZABLE,5.228082068999356,0
13.ltl,REALIZABLE,5.520962750000763,0
ActionConverter.ltl,REALIZABLE,0.027023552000173368,0
AlarmMin_efe2feaf.ltl,REALIZABLE,0.01802606900309911,0
Alarm_06e9cad4.ltl,REALIZABLE,1.592842775004101,0
Alarm_2d1010f8.ltl,REALIZABLE,0.024947006000729743,0
Alarm_68c86764.ltl,REALIZABLE,1.5522902270022314,0
Alarm_70523fbe.ltl,REALIZABLE,0.9449040879990207,0
Alarm_88c5c1c3.ltl,REALIZABLE,0.018517396005336195,0
Alarm_9cac58d3.ltl,REALIZABLE,0.023998872995434795,0
Alarm_a5f99bc6.ltl,REALIZABLE,19.675369545002468,0
Alarm_f2774e0b.ltl,REALIZABLE,0.9850469309967593,0
AllHeating_d6376bf9.ltl,REALIZABLE,0.024692824998055585,0
AllLights_06e9cad4.ltl,UNREALIZABLE,1.647582074998354,1
AllLights_2c5b09da.ltl,UNREALIZABLE,1.0129006450006273,1
AllLights_63831f8c.ltl,UNREALIZABLE,1.5722001050016843,1
AllLights_aeb1d897.ltl,UNREALIZABLE,2.730532758003392,1
AllLights_b209ff21.ltl,UNREALIZABLE,2.558577271000104,1
AllLights_d6c5ac79.ltl,UNREALIZABLE,2.577836104999733,1
AllShades_66f450a4.ltl,UNREALIZABLE,1.7861433330035652,1
Assumptions_a50cadd7.ltl,UNREALIZABLE,0.01571094999962952,1
Automata.ltl,REALIZABLE,0.06244990500272252,0
Automata16S.ltl,TIMEOUT,60.0,124
Automata32S.ltl,TIMEOUT,60.0,124
Button.ltl,REALIZABLE,0.015622903010807931,0
CheckAlarmBroken1_1a2942e3.ltl,REALIZABLE,0.01728923901100643,0
CheckAlarm_6bea956e.ltl,UNREALIZABLE,0.017403441999704228,1
CheckCoffeMachineBroken1_a5f99bc6.ltl,REALIZABLE,0.03064684599667089,0
CheckCoffeMachine_3461125b.ltl,UNREALIZABLE,0.01881573699938599,1
CheckCoffeMachine_f3987563.ltl,UNREALIZABLE,0.026361236989032477,1
CheckDoor_c2b9e44d.ltl,UNREALIZABLE,0.020173226002953015,1
CheckHeating_2418b67e.ltl,UNREALIZABLE,0.01944550000007439,1
CheckHeating_3461125b.ltl,UNREALIZABLE,0.018809337008860894,1
CheckLight_007df645.ltl,UNREALIZABLE,0.02972271400358295,1
CheckLight_aeb1d897.ltl,UNREALIZABLE,0.03282279399718391,1
CheckRoom_06e9cad4.ltl,UNREALIZABLE,0.017225379997398704,1
CheckRoom_2c5b09da.ltl,UNREALIZABLE,0.037713142002758104,1
CheckRoom_3916ec59.ltl,UNREALIZABLE,0.0204110380000202,1
CheckRoom_70523fbe.ltl,UNREALIZABLE,0.016674407001119107,1
CheckShades_1a2942e3.ltl,UNREALIZABLE,0.02540392299852101,1
CheckShades_3461125b.ltl,UNREALIZABLE,0.024212097996496595,1
CheckShades_4d4ca5c4.ltl,UNREALIZABLE,0.01656055599960382,1
CheckShades_aeb1d897.ltl,UNREALIZABLE,0.02662959300141665,1
CheckTime_3916ec59.ltl,UNREALIZABLE,0.016442803011159413,1
CheckTime_4b5e6eaa.ltl,UNREALIZABLE,0.016126106995216105,1
CheckTime_54e1f7d2.ltl,UNREALIZABLE,0.018767604007734917,1
CheckTimer_54e1f7d2.ltl,UNREALIZABLE,0.015949339998769574,1
CheckTimer_fa8592c8.ltl,UNREALIZABLE,0.01900637299695518,1
CheckWarnlightBroken1_70523fbe.ltl,REALIZABLE,0.02588315999309998,0
CheckWarnlight_1cf58fc1.ltl,UNREALIZABLE,0.017105700011597946,1
CheckWarnlight_4b5a2bad.ltl,UNREALIZABLE,0.03773333100252785,1
CheckWarnlight_54e1f7d2.ltl,UNREALIZABLE,0.017569443996762857,1
CheckWarnlight_6bea956e.ltl,UNREALIZABLE,0.017231999001523945,1
CheckWindows_54e1f7d2.ltl,UNREALIZABLE,0.032248882998828776,1
Cockpitboard.ltl,REALIZABLE,0.030206807001377456,0
Cockpitboard_efe2feaf.ltl,REALIZABLE,0.03374594599881675,0
CoffeMachine_974f4a68.ltl,REALIZABLE,0.044275695996475406,0
CoffeMachine_a50cadd7.ltl,UNREALIZABLE,0.016019048998714425,1
CoffeeMin_88f351a6.ltl,REALIZABLE,0.016804118000436574,0
Coffee_06e9cad4.ltl,REALIZABLE,0.03528235900012078,0
Coffee_235467da.ltl,REALIZABLE,0.023945124994497746,0
Coffee_2c5b09da.ltl,REALIZABLE,0.03565363199595595,0
Coffee_6479ef9a.ltl,REALIZABLE,0.026296383002772927,0
Coffee_d6376bf9.ltl,REALIZABLE,0.023115401003451552,0
Coffee_efe2feaf.ltl,REALIZABLE,0.02270832599970163,0
Coffee_f1477cc5.ltl,UNREALIZABLE,0.027246126999671105,1
Core_4b5a2bad.ltl,UNREALIZABLE,0.02310100000067905,1
Core_66f450a4.ltl,UNREALIZABLE,0.02192731399918557,1
Core_fa4d4ce3.ltl,UNREALIZABLE,0.04809018300147727,1
Core_solved_974f4a68.ltl,REALIZABLE,0.023289614997338504,0
Demo1_06e9cad4.ltl,TIMEOUT,60.0,124
Demo1_2c5b09da.ltl,TIMEOUT,60.0,124
Demo1_63831f8c.ltl,TIMEOUT,60.0,124
Demo1_c2b9e44d.ltl,TIMEOUT,60.0,124
Demo1_d65ed84e.ltl,TIMEOUT,60.0,124
DeviceBehaviorChec_fa8592c8.ltl,UNREALIZABLE,0.019968756998423487,1
Door_2d1010f8.ltl,REALIZABLE,0.031226104008965194,0
EnemeyModule.ltl,REALIZABLE,0.018745881000540976,0
EscalatorBidirectional.ltl,REALIZABLE,0.03694981199805625,0
EscalatorBidirectionalInit.ltl,REALIZABLE,0.04184015400096541,0
EscalatorCounting.ltl,REALIZABLE,0.024982289000035962,0
EscalatorCountingInit.ltl,REALIZABLE,0.02294525600154884,0
EscalatorNonCounting.ltl,REALIZABLE,0.01559757700033515,0
EscalatorNonReactive.ltl,REALIZABLE,0.040018717998464126,0
EscalatorSmart.ltl,REALIZABLE,0.04590464500506641,0
Example1_d6376bf9.ltl,REALIZABLE,0.01706267800182104,0
F-G-contradiction-10.ltl,UNREALIZABLE,0.02958075800052029,1
F-G-contradiction-11.ltl,UNREALIZABLE,0.05855235000490211,1
F-G-contradiction-110.ltl,UNREALIZABLE,28.721840002002864,1
F-G-contradiction-111.ltl,UNREALIZABLE,29.175218530996062,1
F-G-contradiction-112.ltl,TIMEOUT,60.0,124
F-G-contradiction-113.ltl,TIMEOUT,60.0,124
F-G-contradiction-114.ltl,TIMEOUT,60.0,124
F-G-contradiction-12.ltl,UNREALIZABLE,0.07895753400043759,1
F-G-contradiction-13.ltl,UNREALIZABLE,0.13923247500042635,1
F-G-contradiction-14.ltl,UNREALIZABLE,0.29058516799705103,1
F-G-contradiction-15.ltl,UNREALIZABLE,0.2916622439997809,1
F-G-contradiction-16.ltl,UNREALIZABLE,9.355379241002083,1
F-G-contradiction-17.ltl,UNREALIZABLE,9.980598581998493,1
F-G-contradiction-18.ltl,UNREALIZABLE,12.038791849001427,1
F-G-contradiction-19.ltl,UNREALIZABLE,11.829779698993661,1
F-G-contradiction-2-unreal.ltl,UNREALIZABLE,0.021680496000044513,1
FelixSpecFixed2.2.core_fa8592c8.ltl,UNREALIZABLE,0.016325723998306785,1
FelixSpecFixed2_fa4d4ce3.ltl,TIMEOUT,60.0,124
FelixSpecFixed3.core_b209ff21.ltl,UNREALIZABLE,0.059874124999623746,1
FelixSpecFixed3_b0840146.ltl,TIMEOUT,60.0,124
FelixSpecFixed4GuaranteesOnly_88f351a6.ltl,UNREALIZABLE,0.01896829900033481,1
FelixSpecFixed4_3916ec59.ltl,TIMEOUT,60.0,124
FelixSpecFixed5_f82794da.ltl,TIMEOUT,60.0,124
FelixSpecFixed_2418b67e.ltl,TIMEOUT,60.0,124
Full_f1477cc5.ltl,TIMEOUT,60.0,124
GF-G-contradiction0.ltl,UNREALIZABLE,0.039358310001262,1
GF-G-contradiction1.ltl,UNREALIZABLE,0.06051097000090522,1
GF-G-contradiction2.ltl,UNREALIZABLE,0.24825675300962757,1
GF-G-contradiction3.ltl,UNREALIZABLE,1.6990263170009712,1
GF-G-contradiction4.ltl,UNREALIZABLE,1.7432090009970125,1
GF-G-contradiction5.ltl,UNREALIZABLE,2.3757957159978105,1
GF-G-contradiction6.ltl,UNREALIZABLE,15.941036232001352,1
GF-G-contradiction7.ltl,UNREALIZABLE,17.442701447998843,1
Gamelogic.ltl,REALIZABLE,0.028909410000778735,0
GamemodeChooser.ltl,REALIZABLE,0.021377124001446646,0
Gamemodule.ltl,REALIZABLE,0.01874452200718224,0
HeatingMin_d6c5ac79.ltl,REALIZABLE,0.019012147997273132,0
Heating_235467da.ltl,REALIZABLE,0.023074361997714732,0
Heating_974f4a68.ltl,REALIZABLE,0.03672498599917162,0
Heating_b02056d6.ltl,REALIZABLE,0.024086475001240615,0
Heating_b209ff21.ltl,REALIZABLE,0.03338596899993718,0
Increment.ltl,REALIZABLE,0.02690037299907999,0
IntendDemo_42dc4fff.ltl,UNREALIZABLE,0.03642397400108166,1
KitchenTimerV0.ltl,REALIZABLE,0.02198171600321075,0
KitchenTimerV1.ltl,REALIZABLE,0.028219266998348758,0
KitchenTimerV10.ltl,REALIZABLE,0.08571425799891585,0
KitchenTimerV2.ltl,REALIZABLE,0.018680110995774157,0
KitchenTimerV3.ltl,REALIZABLE,0.03313671199975943,0
KitchenTimerV4.ltl,REALIZABLE,0.028010807996906806,0
KitchenTimerV5.ltl,REALIZABLE,0.0649885330003599,0
KitchenTimerV6.ltl,REALIZABLE,0.06065392800155678,0
KitchenTimerV7.ltl,REALIZABLE,0.06552952999936679,0
KitchenTimerV8.ltl,REALIZABLE,0.07430862799810711,0
KitchenTimerV9.ltl,REALIZABLE,0.12784261400520336,0
LampController_974f4a68.ltl,REALIZABLE,0.03347175399539992,0
LedMatrix.ltl,TIMEOUT,60.0,124
Light_a50cadd7.ltl,UNREALIZABLE,0.015289495000615716,1
Light_aeb1d897.ltl,UNREALIZABLE,0.024163296999176964,1
Light_d65ed84e.ltl,REALIZABLE,0.04476595000596717,0
Lights2Min_9cbf2546.ltl,REALIZABLE,0.021555502999035525,0
Lights2_06e9cad4.ltl,REALIZABLE,0.17079496199949062,0
Lights2_0f5381e9.ltl,REALIZABLE,0.189128920001167,0
Lights2_2c5b09da.ltl,REALIZABLE,0.04770100300083868,0
Lights2_9cac58d3.ltl,REALIZABLE,0.20271404799859738,0
Lights2_b02056d6.ltl,REALIZABLE,0.19235478100017644,0
Lights2_f1477cc5.ltl,UNREALIZABLE,0.052994136000052094,1
Lights2_f3987563.ltl,REALIZABLE,0.1838796839947463,0
Lights3Min_6479ef9a.ltl,REALIZABLE,0.034731763000309,0
Lights3_06e9cad4.ltl,REALIZABLE,0.03000279299885733,0
Lights3_235467da.ltl,REALIZABLE,0.034974918999068905,0
Lights3_2c5b09da.ltl,REALIZABLE,0.020458499995584134,0
Lights3_3916ec59.ltl,REALIZABLE,0.03323724500114622,0
Lights3_6bea956e.ltl,REALIZABLE,0.050687396000284934,0
Lights3_f1477cc5.ltl,REALIZABLE,0.05184927099617198,0
LightsMin_6bea956e.ltl,REALIZABLE,0.016419324005255476,0
LightsTotal_06e9cad4.ltl,REALIZABLE,0.40484931300306926,0
LightsTotal_2c5b09da.ltl,UNREALIZABLE,0.06617848700261675,1
LightsTotal_9cbf2546.ltl,REALIZABLE,0.40070360200479627,0
LightsTotal_d65ed84e.ltl,REALIZABLE,0.376394220002112,0
Lights_06e9cad4.ltl,REALIZABLE,0.042332191005698405,0
Lights_2c5b09da.ltl,REALIZABLE,0.023774527006025892,0
Lights_3461125b.ltl,REALIZABLE,0.0355340599999181,0
Lights_9cac58d3.ltl,REALIZABLE,0.051126965998264495,0
Lights_b0840146.ltl,REALIZABLE,0.03467592899687588,0
Lights_f3987563.ltl,REALIZABLE,0.03927750500224647,0
ModdifiedLedMatrix4X.ltl,UNREALIZABLE,0.520939827998518,1
ModdifiedLedMatrix5X.ltl,REALIZABLE,0.1302901879989804,0
