solver_label	instance	tlsf_file	cap_s	result	seconds	exit_code	timed_out	resource_reason	expectation_source	stdout_bytes	stderr_bytes	run_index	acacia_sha	binary_sha256	preset	timestamp_utc	flags	cpu_seconds	max_process_rss_bytes	scope_memory_peak_bytes	memory_max	memory_swap_max	allowed_cpus	cpu_quota	collect_rusage	worker_records_dir	scope_unit	winner	lift_elapsed	fallback_start
N-b	abcg_arbiter_pb_4_pe_.ltl	abcg_arbiter_pb_4_pe_.tlsf	17	TIMEOUT	17.053465081960894	124	true	timeout	none	0	8	0	ee37c727	f49aa81b41d04c316a7688801ae3fb17ad0fc3d8b9ae5951c0c03abda31fb10f	otf_sparse_formula	2026-09-24T12:28:31.406806Z	--lift-budget-fraction 0.6666666666666666 --cap 17 --tlsf-tools-build /home/gperez/GIT-repos/tlsf-tools/build-P5-9212e2b --bindings-python /usr/bin/python3.13 --bindings-site /usr/local/lib64/python3.13/site-packages --buddy-adapter /home/gperez/GIT-repos/acacia-gr1-par2-timing/build_gr1par2-adapter-ee37c727/libbuddy_veccompose_adapter.so -- /home/gperez/GIT-repos/acacia-bonsai/build_w1_B/src/acacia-bonsai				8G	0			true		acacia-syntcomp26-coverage-1896505-3f11698b040e.scope	fallback-pending	3.058280325960368	537195.77259217
N-b	abcg_arbiter_pb_5_pe_.ltl	abcg_arbiter_pb_5_pe_.tlsf	17	TIMEOUT	17.092068622005172	124	true	timeout	none	0	8	1	ee37c727	f49aa81b41d04c316a7688801ae3fb17ad0fc3d8b9ae5951c0c03abda31fb10f	otf_sparse_formula	2026-09-24T12:28:48.511212Z	--lift-budget-fraction 0.6666666666666666 --cap 17 --tlsf-tools-build /home/gperez/GIT-repos/tlsf-tools/build-P5-9212e2b --bindings-python /usr/bin/python3.13 --bindings-site /usr/local/lib64/python3.13/site-packages --buddy-adapter /home/gperez/GIT-repos/acacia-gr1-par2-timing/build_gr1par2-adapter-ee37c727/libbuddy_veccompose_adapter.so -- /home/gperez/GIT-repos/acacia-bonsai/build_w1_B/src/acacia-bonsai				8G	0			true		acacia-syntcomp26-coverage-1896505-848aae60b533.scope	fallback-pending	3.0416383609408513	537212.835924319
N-b	abcg_arbiter_pb_6_pe_.ltl	abcg_arbiter_pb_6_pe_.tlsf	17	TIMEOUT	17.094459760934114	124	true	timeout	none	0	8	2	ee37c727	f49aa81b41d04c316a7688801ae3fb17ad0fc3d8b9ae5951c0c03abda31fb10f	otf_sparse_formula	2026-09-24T12:29:05.639923Z	--lift-budget-fraction 0.6666666666666666 --cap 17 --tlsf-tools-build /home/gperez/GIT-repos/tlsf-tools/build-P5-9212e2b --bindings-python /usr/bin/python3.13 --bindings-site /usr/local/lib64/python3.13/site-packages --buddy-adapter /home/gperez/GIT-repos/acacia-gr1-par2-timing/build_gr1par2-adapter-ee37c727/libbuddy_veccompose_adapter.so -- /home/gperez/GIT-repos/acacia-bonsai/build_w1_B/src/acacia-bonsai				8G	0			true		acacia-syntcomp26-coverage-1896505-dc7140a7aeea.scope	fallback-pending	3.1450231519993395	537230.03095503
N-b	amba_case_study_unreal_pb_2_pe_.ltl	amba_case_study_unreal_pb_2_pe_.tlsf	17	TIMEOUT	17.038108669104986	124	true	timeout	none	0	8	3	ee37c727	f49aa81b41d04c316a7688801ae3fb17ad0fc3d8b9ae5951c0c03abda31fb10f	otf_sparse_formula	2026-09-24T12:29:22.691586Z	--lift-budget-fraction 0.6666666666666666 --cap 17 --tlsf-tools-build /home/gperez/GIT-repos/tlsf-tools/build-P5-9212e2b --bindings-python /usr/bin/python3.13 --bindings-site /usr/local/lib64/python3.13/site-packages --buddy-adapter /home/gperez/GIT-repos/acacia-gr1-par2-timing/build_gr1par2-adapter-ee37c727/libbuddy_veccompose_adapter.so -- /home/gperez/GIT-repos/acacia-bonsai/build_w1_B/src/acacia-bonsai				8G	0			true		acacia-syntcomp26-coverage-1896505-9722b9c7f7ac.scope	fallback-pending	11.111665093922056	537255.134574339
N-b	amba_case_study_unreal_pb_3_pe_.ltl	amba_case_study_unreal_pb_3_pe_.tlsf	17	TIMEOUT	17.087582050007768	124	true	timeout	none	0	8	4	ee37c727	f49aa81b41d04c316a7688801ae3fb17ad0fc3d8b9ae5951c0c03abda31fb10f	otf_sparse_formula	2026-09-24T12:29:39.809185Z	--lift-budget-fraction 0.6666666666666666 --cap 17 --tlsf-tools-build /home/gperez/GIT-repos/tlsf-tools/build-P5-9212e2b --bindings-python /usr/bin/python3.13 --bindings-site /usr/local/lib64/python3.13/site-packages --buddy-adapter /home/gperez/GIT-repos/acacia-gr1-par2-timing/build_gr1par2-adapter-ee37c727/libbuddy_veccompose_adapter.so -- /home/gperez/GIT-repos/acacia-bonsai/build_w1_B/src/acacia-bonsai				8G	0			true		acacia-syntcomp26-coverage-1896505-bcc6ccf19998.scope	fallback-pending	11.104796187020838	537272.172517077
N-b	amba_case_study_unreal_pb_4_pe_.ltl	amba_case_study_unreal_pb_4_pe_.tlsf	17	TIMEOUT	17.05319779808633	124	true	timeout	none	0	8	5	ee37c727	f49aa81b41d04c316a7688801ae3fb17ad0fc3d8b9ae5951c0c03abda31fb10f	otf_sparse_formula	2026-09-24T12:29:56.882985Z	--lift-budget-fraction 0.6666666666666666 --cap 17 --tlsf-tools-build /home/gperez/GIT-repos/tlsf-tools/build-P5-9212e2b --bindings-python /usr/bin/python3.13 --bindings-site /usr/local/lib64/python3.13/site-packages --buddy-adapter /home/gperez/GIT-repos/acacia-gr1-par2-timing/build_gr1par2-adapter-ee37c727/libbuddy_veccompose_adapter.so -- /home/gperez/GIT-repos/acacia-bonsai/build_w1_B/src/acacia-bonsai				8G	0			true		acacia-syntcomp26-coverage-1896505-ce8085fbc4ea.scope	fallback-pending	11.10909295908641	537289.302617634
N-b	amba_case_study_unreal_pb_5_pe_.ltl	amba_case_study_unreal_pb_5_pe_.tlsf	17	TIMEOUT	17.054425755981356	124	true	timeout	none	0	8	6	ee37c727	f49aa81b41d04c316a7688801ae3fb17ad0fc3d8b9ae5951c0c03abda31fb10f	otf_sparse_formula	2026-09-24T12:30:13.950943Z	--lift-budget-fraction 0.6666666666666666 --cap 17 --tlsf-tools-build /home/gperez/GIT-repos/tlsf-tools/build-P5-9212e2b --bindings-python /usr/bin/python3.13 --bindings-site /usr/local/lib64/python3.13/site-packages --buddy-adapter /home/gperez/GIT-repos/acacia-gr1-par2-timing/build_gr1par2-adapter-ee37c727/libbuddy_veccompose_adapter.so -- /home/gperez/GIT-repos/acacia-bonsai/build_w1_B/src/acacia-bonsai				8G	0			true		acacia-syntcomp26-coverage-1896505-a8035f0da8e2.scope	fallback-pending	11.147745718015358	537306.421129936
N-b	amba_decomposed_lock_pb_10_pe_.ltl	amba_decomposed_lock_pb_10_pe_.tlsf	17	REALIZABLE	1.1101751050446182	0	false		status	11	31	7	ee37c727	f49aa81b41d04c316a7688801ae3fb17ad0fc3d8b9ae5951c0c03abda31fb10f	otf_sparse_formula	2026-09-24T12:30:15.085166Z	--lift-budget-fraction 0.6666666666666666 --cap 17 --tlsf-tools-build /home/gperez/GIT-repos/tlsf-tools/build-P5-9212e2b --bindings-python /usr/bin/python3.13 --bindings-site /usr/local/lib64/python3.13/site-packages --buddy-adapter /home/gperez/GIT-repos/acacia-gr1-par2-timing/build_gr1par2-adapter-ee37c727/libbuddy_veccompose_adapter.so -- /home/gperez/GIT-repos/acacia-bonsai/build_w1_B/src/acacia-bonsai	1.080000	683126784		8G	0			true		acacia-syntcomp26-coverage-1896505-6ad5ccfea69a.scope	lifting	1.0238982239970937	
N-b	amba_decomposed_lock_pb_11_pe_.ltl	amba_decomposed_lock_pb_11_pe_.tlsf	17	REALIZABLE	1.3584164530038834	0	false		status	11	32	8	ee37c727	f49aa81b41d04c316a7688801ae3fb17ad0fc3d8b9ae5951c0c03abda31fb10f	otf_sparse_formula	2026-09-24T12:30:16.469087Z	--lift-budget-fraction 0.6666666666666666 --cap 17 --tlsf-tools-build /home/gperez/GIT-repos/tlsf-tools/build-P5-9212e2b --bindings-python /usr/bin/python3.13 --bindings-site /usr/local/lib64/python3.13/site-packages --buddy-adapter /home/gperez/GIT-repos/acacia-gr1-par2-timing/build_gr1par2-adapter-ee37c727/libbuddy_veccompose_adapter.so -- /home/gperez/GIT-repos/acacia-bonsai/build_w1_B/src/acacia-bonsai	1.320000	1362251776		8G	0			true		acacia-syntcomp26-coverage-1896505-9204a75ea819.scope	lifting	1.2710209479555488	
N-b	amba_decomposed_lock_pb_12_pe_.ltl	amba_decomposed_lock_pb_12_pe_.tlsf	17	REALIZABLE	1.7281527790473774	0	false		status	11	32	9	ee37c727	f49aa81b41d04c316a7688801ae3fb17ad0fc3d8b9ae5951c0c03abda31fb10f	otf_sparse_formula	2026-09-24T12:30:18.231626Z	--lift-budget-fraction 0.6666666666666666 --cap 17 --tlsf-tools-build /home/gperez/GIT-repos/tlsf-tools/build-P5-9212e2b --bindings-python /usr/bin/python3.13 --bindings-site /usr/local/lib64/python3.13/site-packages --buddy-adapter /home/gperez/GIT-repos/acacia-gr1-par2-timing/build_gr1par2-adapter-ee37c727/libbuddy_veccompose_adapter.so -- /home/gperez/GIT-repos/acacia-bonsai/build_w1_B/src/acacia-bonsai	1.700000	1378689024		8G	0			true		acacia-syntcomp26-coverage-1896505-e0a4362d0f51.scope	lifting	1.6403274879558012	
