label	suite	instance	fixpoint_bucket	median_cycles	min_cycles	max_cycles	spread_percent
baseline	syntcomp24	arbiter_with_buffer6.ltl	downset-bound	464485948310	451289012434	465240940678	3.09
baseline	syntcomp24	finding_nemo_2.ltl	letter-loop-bound	248665165560	244137815463	254246843671	4.14
baseline	syntcomp24	lift4.ltl	downset-bound	658122311964	628657891189	676892811985	7.67
baseline	syntcomp24	round_robin_arbiter4.ltl	mixed	246244811110	243018805329	249301678046	2.59
baseline	syntcomp24	workstation_resupply_3.ltl	letter-loop-bound	484678692452	483006748900	495282730806	2.54
baseline	syntcomp25	amba_case_study_unreal_pb_2_pe_.ltl	letter-loop-bound	582162591022	567846355817	587394281785	3.44
baseline	syntcomp25	arbiter_with_buffer_pb_5_pe_.ltl	downset-bound	698582047092	663230454216	705700989460	6.40
baseline	syntcomp25	g-unreal-116.ltl	mixed	278676697659	276715687065	278741069442	0.73
baseline	syntcomp25	lift_pb_3_pe_.ltl	downset-bound	691456559567	633109932601	693323750745	9.51
baseline	syntcomp25	workstation_resupply_pb_3_pe_.ltl	letter-loop-bound	486623581911	461499220241	495495821703	7.37
candidate	syntcomp24	arbiter_with_buffer6.ltl	downset-bound	482247753598	476187134962	482511299680	1.33
candidate	syntcomp24	finding_nemo_2.ltl	letter-loop-bound	248796440478	245732263674	249040248686	1.35
candidate	syntcomp24	lift4.ltl	downset-bound	654857271122	648418622496	659443846332	1.70
candidate	syntcomp24	round_robin_arbiter4.ltl	mixed	254332457611	243333932774	257644635777	5.88
candidate	syntcomp24	workstation_resupply_3.ltl	letter-loop-bound	492136427393	490920990982	494088199995	0.65
candidate	syntcomp25	amba_case_study_unreal_pb_2_pe_.ltl	letter-loop-bound	554021240811	549719145196	556838064739	1.30
candidate	syntcomp25	arbiter_with_buffer_pb_5_pe_.ltl	downset-bound	679648482470	676585207515	683754524579	1.06
candidate	syntcomp25	g-unreal-116.ltl	mixed	209888850592	209271473260	210170770675	0.43
candidate	syntcomp25	lift_pb_3_pe_.ltl	downset-bound	690123912188	678749099647	695177729988	2.42
candidate	syntcomp25	workstation_resupply_pb_3_pe_.ltl	letter-loop-bound	490521184719	489004526410	492545929492	0.72
