logical_instance	parameters	known_verdict	before_fix	before_seconds	after_fix	after_seconds	strategy_verification
round_robin_arbiter_pb_10_pe_.ltl	"{""n"": 10}"	unknown	TIMEOUT	20.0	UNKNOWN	3.651	n/a
round_robin_arbiter_pb_2_pe_.ltl	"{""n"": 2}"	REALIZABLE	REALIZABLE	0.0	REALIZABLE	0.024	VERIFIED
round_robin_arbiter_pb_3_pe_.ltl	"{""n"": 3}"	REALIZABLE	REALIZABLE	0.0	REALIZABLE	0.029	VERIFIED
round_robin_arbiter_pb_4_pe_.ltl	"{""n"": 4}"	REALIZABLE	REALIZABLE	0.1	REALIZABLE	0.053	VERIFIED
round_robin_arbiter_pb_5_pe_.ltl	"{""n"": 5}"	REALIZABLE	REALIZABLE	0.1	REALIZABLE	0.217	VERIFIED
round_robin_arbiter_pb_6_pe_.ltl	"{""n"": 6}"	unknown	REALIZABLE	0.3	REALIZABLE	1.241	UNVERIFIED_SPOT_LATCH_LIMIT_33
round_robin_arbiter_pb_7_pe_.ltl	"{""n"": 7}"	unknown	REALIZABLE	2.6	REALIZABLE	8.023	UNVERIFIED_SPOT_LATCH_LIMIT_38
round_robin_arbiter_pb_8_pe_.ltl	"{""n"": 8}"	unknown	REALIZABLE	15.5	TIMEOUT	20.025	n/a
round_robin_arbiter_unreal1_pb_2_10_pe_.ltl	"{""n"": 2, ""u"": 10}"	UNREALIZABLE	TIMEOUT	20.0	TIMEOUT	20.012	n/a
round_robin_arbiter_unreal1_pb_2_1_pe_.ltl	"{""n"": 2, ""u"": 1}"	UNREALIZABLE	UNREALIZABLE	0.0	UNREALIZABLE	0.024	n/a
round_robin_arbiter_unreal1_pb_2_2_pe_.ltl	"{""n"": 2, ""u"": 2}"	UNREALIZABLE	UNREALIZABLE	0.0	UNREALIZABLE	0.035	n/a
round_robin_arbiter_unreal1_pb_2_3_pe_.ltl	"{""n"": 2, ""u"": 3}"	UNREALIZABLE	UNREALIZABLE	0.1	UNREALIZABLE	0.100	n/a
round_robin_arbiter_unreal1_pb_2_4_pe_.ltl	"{""n"": 2, ""u"": 4}"	UNREALIZABLE	UNREALIZABLE	0.5	UNREALIZABLE	0.655	n/a
round_robin_arbiter_unreal1_pb_2_5_pe_.ltl	"{""n"": 2, ""u"": 5}"	UNREALIZABLE	UNREALIZABLE	4.4	UNREALIZABLE	6.934	n/a
round_robin_arbiter_unreal1_pb_2_6_pe_.ltl	"{""n"": 2, ""u"": 6}"	UNREALIZABLE	TIMEOUT	20.0	TIMEOUT	20.025	n/a
round_robin_arbiter_unreal1_pb_2_7_pe_.ltl	"{""n"": 2, ""u"": 7}"	UNREALIZABLE	TIMEOUT	20.0	TIMEOUT	20.025	n/a
round_robin_arbiter_unreal1_pb_2_8_pe_.ltl	"{""n"": 2, ""u"": 8}"	UNREALIZABLE	TIMEOUT	20.0	TIMEOUT	20.026	n/a
round_robin_arbiter_unreal1_pb_2_9_pe_.ltl	"{""n"": 2, ""u"": 9}"	UNREALIZABLE	TIMEOUT	20.0	TIMEOUT	20.026	n/a
round_robin_arbiter_unreal1_pb_3_1_pe_.ltl	"{""n"": 3, ""u"": 1}"	UNREALIZABLE	UNREALIZABLE	0.0	UNREALIZABLE	0.028	n/a
round_robin_arbiter_unreal1_pb_3_2_pe_.ltl	"{""n"": 3, ""u"": 2}"	UNREALIZABLE	UNREALIZABLE	0.1	UNREALIZABLE	0.220	n/a
round_robin_arbiter_unreal1_pb_3_3_pe_.ltl	"{""n"": 3, ""u"": 3}"	UNREALIZABLE	UNREALIZABLE	2.4	UNREALIZABLE	4.520	n/a
round_robin_arbiter_unreal1_pb_3_4_pe_.ltl	"{""n"": 3, ""u"": 4}"	UNREALIZABLE	TIMEOUT	20.0	TIMEOUT	20.025	n/a
round_robin_arbiter_unreal1_pb_3_5_pe_.ltl	"{""n"": 3, ""u"": 5}"	UNREALIZABLE	TIMEOUT	20.0	TIMEOUT	20.026	n/a
round_robin_arbiter_unreal1_pb_3_6_pe_.ltl	"{""n"": 3, ""u"": 6}"	UNREALIZABLE	TIMEOUT	20.0	TIMEOUT	20.026	n/a
round_robin_arbiter_unreal1_pb_3_7_pe_.ltl	"{""n"": 3, ""u"": 7}"	UNREALIZABLE	TIMEOUT	20.0	TIMEOUT	20.027	n/a
round_robin_arbiter_unreal1_pb_3_8_pe_.ltl	"{""n"": 3, ""u"": 8}"	UNREALIZABLE	TIMEOUT	20.0	TIMEOUT	20.027	n/a
round_robin_arbiter_unreal1_pb_3_9_pe_.ltl	"{""n"": 3, ""u"": 9}"	unknown	TIMEOUT	20.0	TIMEOUT	20.026	n/a
round_robin_arbiter_unreal1_pb_4_1_pe_.ltl	"{""n"": 4, ""u"": 1}"	UNREALIZABLE	UNREALIZABLE	0.1	UNREALIZABLE	0.050	n/a
round_robin_arbiter_unreal1_pb_4_2_pe_.ltl	"{""n"": 4, ""u"": 2}"	UNREALIZABLE	UNREALIZABLE	1.9	UNREALIZABLE	4.155	n/a
round_robin_arbiter_unreal1_pb_4_3_pe_.ltl	"{""n"": 4, ""u"": 3}"	UNREALIZABLE	TIMEOUT	20.0	TIMEOUT	20.025	n/a
round_robin_arbiter_unreal1_pb_4_4_pe_.ltl	"{""n"": 4, ""u"": 4}"	UNREALIZABLE	TIMEOUT	20.0	TIMEOUT	20.026	n/a
round_robin_arbiter_unreal1_pb_4_5_pe_.ltl	"{""n"": 4, ""u"": 5}"	UNREALIZABLE	TIMEOUT	20.0	TIMEOUT	20.027	n/a
round_robin_arbiter_unreal1_pb_4_6_pe_.ltl	"{""n"": 4, ""u"": 6}"	unknown	TIMEOUT	20.0	TIMEOUT	20.026	n/a
round_robin_arbiter_unreal1_pb_4_7_pe_.ltl	"{""n"": 4, ""u"": 7}"	unknown	TIMEOUT	20.0	TIMEOUT	20.026	n/a
round_robin_arbiter_unreal1_pb_4_8_pe_.ltl	"{""n"": 4, ""u"": 8}"	unknown	TIMEOUT	20.0	UNKNOWN	3.118	n/a
