instance	result	exit_code	seconds	cap_s
abcg_arbiter_pb_4_pe_.ltl	TIMEOUT	124	120.26766188399961	120
abcg_arbiter_pb_5_pe_.ltl	TIMEOUT	124	120.21861875700051	120
abcg_arbiter_pb_6_pe_.ltl	TIMEOUT	124	120.22465205200206	120
amba_decomposed_lock_pb_15_pe_.ltl	TIMEOUT	124	120.21802812299939	120
amba_decomposed_lock_pb_16_pe_.ltl	TIMEOUT	124	120.13505704399722	120
amba_decomposed_lock_pb_30_pe_.ltl	TIMEOUT	124	120.1587991760025	120
arbiter_on_inpchange_pb_5_pe_.ltl	MEMOUT	-15	90.61350378499628	120
arbiter_on_inpchange_pb_6_pe_.ltl	MEMOUT	-15	94.16483642300045	120
arbiter_on_inpchange_pb_7_pe_.ltl	MEMOUT	-15	72.8691707830003	120
arbiter_pb_10_pe_.ltl	TIMEOUT	124	120.15961359700304	120
arbiter_pb_6_pe_.ltl	TIMEOUT	124	120.13541819198872	120
arbiter_pb_7_pe_.ltl	TIMEOUT	124	120.1718723869999	120
arbiter_pb_8_pe_.ltl	TIMEOUT	124	120.16824969900335	120
arbiter_pb_9_pe_.ltl	TIMEOUT	124	120.22860419200151	120
arbiter_with_buffer_pb_10_pe_.ltl	TIMEOUT	124	120.21912364300078	120
arbiter_with_buffer_pb_6_pe_.ltl	TIMEOUT	124	120.11952233000193	120
arbiter_with_buffer_pb_7_pe_.ltl	TIMEOUT	124	120.27612537299865	120
arbiter_with_buffer_pb_8_pe_.ltl	MEMOUT	-15	105.51985295400027	120
arbiter_with_buffer_pb_9_pe_.ltl	TIMEOUT	124	120.27030232099787	120
arbiter_with_cancel_pb_10_pe_.ltl	TIMEOUT	124	120.22912363399882	120
arbiter_with_cancel_pb_6_pe_.ltl	TIMEOUT	124	120.13619673599896	120
arbiter_with_cancel_pb_7_pe_.ltl	TIMEOUT	124	120.08651844900305	120
arbiter_with_cancel_pb_8_pe_.ltl	TIMEOUT	124	120.2199840530011	120
arbiter_with_cancel_pb_9_pe_.ltl	TIMEOUT	124	120.2299872069998	120
collector_v1_pb_11_pe_.ltl	MEMOUT	-15	72.19434088200069	120
collector_v1_pb_12_pe_.ltl	TIMEOUT	124	120.32925939699999	120
collector_v1_pb_13_pe_.ltl	TIMEOUT	124	120.37719313700018	120
collector_v1_pb_14_pe_.ltl	TIMEOUT	124	120.32609939399845	120
collector_v1_pb_15_pe_.ltl	TIMEOUT	124	120.32489767199877	120
load_balancer_pb_10_pe_.ltl	TIMEOUT	124	120.2283993710007	120
load_balancer_pb_11_pe_.ltl	TIMEOUT	124	120.15145362099975	120
load_balancer_pb_8_pe_.ltl	TIMEOUT	124	120.07912243099418	120
load_balancer_pb_9_pe_.ltl	TIMEOUT	124	120.22739648100105	120
prioritized_arbiter_pb_10_pe_.ltl	TIMEOUT	124	120.21820812000078	120
prioritized_arbiter_pb_12_pe_.ltl	TIMEOUT	124	120.27664230799928	120
prioritized_arbiter_pb_7_pe_.ltl	TIMEOUT	124	120.07205638400046	120
prioritized_arbiter_pb_8_pe_.ltl	TIMEOUT	124	120.11183617699862	120
prioritized_arbiter_pb_9_pe_.ltl	TIMEOUT	124	120.12657362200116	120
simple_arbiter_with_hints_pb_10_pe_.ltl	TIMEOUT	124	120.26854933900177	120
simple_arbiter_with_hints_pb_12_pe_.ltl	TIMEOUT	124	120.21999697799765	120
simple_arbiter_with_hints_pb_15_pe_.ltl	TIMEOUT	124	120.2189478339933	120
simple_arbiter_with_hints_pb_8_pe_.ltl	TIMEOUT	124	120.12015250900004	120
